GeneID	C-1	C-2	C-3	H-1	H-2	H-3	L-1	L-2	L-3
LOC127985733	0.162	0.167	0.170	0.197	0.240	0.128	0.204	0.105	0.038
LOC127985796	1.089	1.118	1.030	1.023	0.858	0.457	0.198	0.303	0.971
LOC127985926	0.444	0.422	0.421	0.345	0.369	0.131	0.273	0.253	0.168
LOC127986163	23.329	22.630	22.717	15.516	15.596	16.542	20.890	21.841	16.158
LOC127986248	0.039	0.040	0.041	0.000	0.000	0.008	0.000	0.000	0.000
LOC127986574	42.651	42.047	44.471	23.853	29.289	30.292	42.231	37.990	20.330
LOC127986326	0.116	0.119	0.122	0.027	0.137	0.046	0.187	0.163	0.204
slc29a4b	0.026	0.026	0.027	0.000	0.000	0.000	0.062	0.022	0.000
LOC127987002	0.197	0.148	0.151	0.170	0.062	0.165	0.137	0.068	0.000
LOC127987134	4.835	4.871	4.873	5.598	4.682	3.083	3.884	4.262	4.428
LOC127987222	4.269	3.964	3.808	4.591	3.765	4.866	2.544	2.993	2.795
LOC127987307	0.247	0.234	0.238	0.140	0.142	0.202	0.130	0.074	0.213
LOC127987422	0.120	0.119	0.121	0.067	0.053	0.047	0.006	0.007	0.022
LOC127987641	0.273	0.256	0.261	1.461	0.964	1.133	0.114	0.164	0.067
LOC127987489	0.238	0.214	0.219	0.073	0.074	0.034	0.035	0.025	0.040
LOC127987781	0.818	0.752	0.801	0.344	0.407	0.212	0.030	0.028	0.101
LOC127987982	3.855	4.545	3.965	4.330	4.858	4.675	16.126	15.155	16.719
LOC127988127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127988288	0.000	0.000	0.000	0.252	0.125	0.215	0.000	0.000	0.000
LOC127988395	49.276	49.327	48.900	41.072	35.951	26.009	39.015	38.739	42.877
LOC127988473	0.674	0.620	0.618	0.611	0.454	0.743	0.113	0.182	0.079
LOC127988774	15.595	15.340	15.223	10.537	9.127	7.760	11.806	12.925	20.968
LOC127989458	0.141	0.109	0.111	0.000	0.000	0.000	0.000	0.030	0.265
LOC127989613	8.574	8.499	8.596	8.849	9.706	9.280	18.706	19.603	12.574
LOC127990556	0.000	0.000	0.000	0.000	0.024	0.024	0.000	0.000	0.000
LOC127990397	0.011	0.011	0.011	0.060	0.042	0.068	0.000	0.000	0.000
LOC127992420	0.178	0.163	0.166	0.073	0.031	0.063	0.175	0.137	0.019
LOC127992842	1.194	1.198	1.279	1.397	1.622	1.819	2.415	2.568	1.402
LOC127991549	0.124	0.113	0.116	0.019	0.011	0.033	0.039	0.000	0.006
LOC127992683	0.310	0.318	0.312	0.184	0.143	0.124	0.066	0.065	0.016
LOC127990132	1.136	1.095	1.146	1.029	0.931	0.744	1.075	1.035	1.504
LOC127991285	1.976	1.826	1.797	0.781	0.764	0.546	1.595	1.982	0.463
LOC127991955	0.000	0.000	0.000	0.000	0.000	0.000	0.020	0.169	0.000
LOC127991804	1.400	1.239	1.213	2.679	2.738	2.856	0.718	0.749	0.136
LOC127991025	2.862	2.693	2.784	1.569	1.259	1.394	0.703	0.936	0.546
LOC127990713	0.172	0.140	0.142	0.017	0.164	0.136	0.029	0.031	0.000
LOC127990870	1.182	1.059	1.080	0.629	1.007	0.981	0.039	0.047	0.238
LOC127992106	0.780	0.801	0.817	0.192	0.307	0.369	0.000	0.000	0.000
LOC127943277	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127993626	4.228	4.037	4.062	3.276	3.660	2.348	5.420	4.863	4.202
